id,store,title,price,info,search_value,link,image_url
1,Amazon,Apple iPhone 16 (128 GB) - Teal,3725.00,N/A,iPhone 16,https://www.amazon.sa/-/en/sspa/click?ie=UTF8&spc=MTo4ODQ3MjIxNTUzNjgxMTA4OjE3MzIxMDI2NTY6c3BfYXRmOjMwMDMzMzY0MDYxOTAzMjo6MDo6&url=%2FApple-iPhone-16-128-GB%2Fdp%2FB0DGJM8GYG%2Fref%3Dsr_1_1_sspa%3Fdib%3DeyJ2IjoiMSJ9.-SW37JoMXguG6njyaoJdZT-4d2PVsmMeUNpNBXxoQegYzowr3bQc9hVNLolJaC3nD1rikecgNqDwMXfY2hfokKBTlDG4jg2Cb0pj40Pwprc0S0q9LVQZnoGO-_JlbmPQsyMkomGlWOSf7XhUKNhH6A1Oj9rPk0-PiH1yOLYO27cLcIJYL33nuDHiBe_hGtK5o35x8xKi00rBcfRjpTgcSnm6V6FxGjdDmP8HzZrbywE9w3Byl0jyhFZ0D_oSLLSOz2YPTH9NCr0molovDlQvluoMsbDiWSL4LWpD9CAFXs0.1yZeuE0c0idAaBtl5-G8ewlidhTDb7YWjgOD77XUZTc%26dib_tag%3Dse%26keywords%3DiPhone%2B16%26qid%3D1732102656%26sr%3D8-1-spons%26sp_csd%3Dd2lkZ2V0TmFtZT1zcF9hdGY%26psc%3D1,https://m.media-amazon.com/images/I/61z03IUpbXL._AC_UL320_.jpg
2,Amazon,Apple iPhone 16 Pro (256 GB) - Desert Titanium,4949.00,N/A,iPhone 16,https://www.amazon.sa/-/en/sspa/click?ie=UTF8&spc=MTo4ODQ3MjIxNTUzNjgxMTA4OjE3MzIxMDI2NTY6c3BfYXRmOjMwMDMzMzY0MDYyMTgzMjo6MDo6&url=%2FApple-iPhone-16-Pro-256%2Fdp%2FB0DGJNRF2H%2Fref%3Dsr_1_2_sspa%3Fdib%3DeyJ2IjoiMSJ9.-SW37JoMXguG6njyaoJdZT-4d2PVsmMeUNpNBXxoQegYzowr3bQc9hVNLolJaC3nD1rikecgNqDwMXfY2hfokKBTlDG4jg2Cb0pj40Pwprc0S0q9LVQZnoGO-_JlbmPQsyMkomGlWOSf7XhUKNhH6A1Oj9rPk0-PiH1yOLYO27cLcIJYL33nuDHiBe_hGtK5o35x8xKi00rBcfRjpTgcSnm6V6FxGjdDmP8HzZrbywE9w3Byl0jyhFZ0D_oSLLSOz2YPTH9NCr0molovDlQvluoMsbDiWSL4LWpD9CAFXs0.1yZeuE0c0idAaBtl5-G8ewlidhTDb7YWjgOD77XUZTc%26dib_tag%3Dse%26keywords%3DiPhone%2B16%26qid%3D1732102656%26sr%3D8-2-spons%26sp_csd%3Dd2lkZ2V0TmFtZT1zcF9hdGY%26psc%3D1,https://m.media-amazon.com/images/I/617ZhMUCvIL._AC_UL320_.jpg
3,Amazon,Apple iPhone 16 Pro Max (256 GB) - Desert Titanium,5548.75,N/A,iPhone 16,https://www.amazon.sa/-/en/sspa/click?ie=UTF8&spc=MTo4ODQ3MjIxNTUzNjgxMTA4OjE3MzIxMDI2NTY6c3BfYXRmOjMwMDMzMzY0MDYxNjYzMjo6MDo6&url=%2FApple-iPhone-Pro-Max-256%2Fdp%2FB0DGJXGYTX%2Fref%3Dsr_1_3_sspa%3Fdib%3DeyJ2IjoiMSJ9.-SW37JoMXguG6njyaoJdZT-4d2PVsmMeUNpNBXxoQegYzowr3bQc9hVNLolJaC3nD1rikecgNqDwMXfY2hfokKBTlDG4jg2Cb0pj40Pwprc0S0q9LVQZnoGO-_JlbmPQsyMkomGlWOSf7XhUKNhH6A1Oj9rPk0-PiH1yOLYO27cLcIJYL33nuDHiBe_hGtK5o35x8xKi00rBcfRjpTgcSnm6V6FxGjdDmP8HzZrbywE9w3Byl0jyhFZ0D_oSLLSOz2YPTH9NCr0molovDlQvluoMsbDiWSL4LWpD9CAFXs0.1yZeuE0c0idAaBtl5-G8ewlidhTDb7YWjgOD77XUZTc%26dib_tag%3Dse%26keywords%3DiPhone%2B16%26qid%3D1732102656%26sr%3D8-3-spons%26sp_csd%3Dd2lkZ2V0TmFtZT1zcF9hdGY%26psc%3D1,https://m.media-amazon.com/images/I/61bMJdgeryL._AC_UL320_.jpg
4,Amazon,Apple iPhone 16 Plus (128 GB) - Pink,4199.00,N/A,iPhone 16,https://www.amazon.sa/-/en/sspa/click?ie=UTF8&spc=MTo4ODQ3MjIxNTUzNjgxMTA4OjE3MzIxMDI2NTY6c3BfYXRmOjMwMDMzMzY0MDYxNjgzMjo6MDo6&url=%2FApple-iPhone-16-Plus-128%2Fdp%2FB0DGJP13N3%2Fref%3Dsr_1_4_sspa%3Fdib%3DeyJ2IjoiMSJ9.-SW37JoMXguG6njyaoJdZT-4d2PVsmMeUNpNBXxoQegYzowr3bQc9hVNLolJaC3nD1rikecgNqDwMXfY2hfokKBTlDG4jg2Cb0pj40Pwprc0S0q9LVQZnoGO-_JlbmPQsyMkomGlWOSf7XhUKNhH6A1Oj9rPk0-PiH1yOLYO27cLcIJYL33nuDHiBe_hGtK5o35x8xKi00rBcfRjpTgcSnm6V6FxGjdDmP8HzZrbywE9w3Byl0jyhFZ0D_oSLLSOz2YPTH9NCr0molovDlQvluoMsbDiWSL4LWpD9CAFXs0.1yZeuE0c0idAaBtl5-G8ewlidhTDb7YWjgOD77XUZTc%26dib_tag%3Dse%26keywords%3DiPhone%2B16%26qid%3D1732102656%26sr%3D8-4-spons%26sp_csd%3Dd2lkZ2V0TmFtZT1zcF9hdGY%26psc%3D1,https://m.media-amazon.com/images/I/716KLI9CI6L._AC_UL320_.jpg
5,Amazon,Apple iPhone 16 (128 GB) - Black,3679.00,N/A,iPhone 16,https://www.amazon.sa/-/en/Apple-iPhone-16-128-GB/dp/B0DGK2GQY9/ref=sr_1_5?dib=eyJ2IjoiMSJ9.-SW37JoMXguG6njyaoJdZT-4d2PVsmMeUNpNBXxoQegYzowr3bQc9hVNLolJaC3nD1rikecgNqDwMXfY2hfokKBTlDG4jg2Cb0pj40Pwprc0S0q9LVQZnoGO-_JlbmPQsyMkomGlWOSf7XhUKNhH6A1Oj9rPk0-PiH1yOLYO27cLcIJYL33nuDHiBe_hGtK5o35x8xKi00rBcfRjpTgcSnm6V6FxGjdDmP8HzZrbywE9w3Byl0jyhFZ0D_oSLLSOz2YPTH9NCr0molovDlQvluoMsbDiWSL4LWpD9CAFXs0.1yZeuE0c0idAaBtl5-G8ewlidhTDb7YWjgOD77XUZTc&dib_tag=se&keywords=iPhone+16&qid=1732102656&sr=8-5,https://m.media-amazon.com/images/I/61-251PVEZL._AC_UL320_.jpg
6,Amazon,Apple iPhone 16 Pro (256 GB) - Desert Titanium,4949.00,N/A,iPhone 16,https://www.amazon.sa/-/en/Apple-iPhone-16-Pro-256/dp/B0DGJNRF2H/ref=sr_1_6?dib=eyJ2IjoiMSJ9.-SW37JoMXguG6njyaoJdZT-4d2PVsmMeUNpNBXxoQegYzowr3bQc9hVNLolJaC3nD1rikecgNqDwMXfY2hfokKBTlDG4jg2Cb0pj40Pwprc0S0q9LVQZnoGO-_JlbmPQsyMkomGlWOSf7XhUKNhH6A1Oj9rPk0-PiH1yOLYO27cLcIJYL33nuDHiBe_hGtK5o35x8xKi00rBcfRjpTgcSnm6V6FxGjdDmP8HzZrbywE9w3Byl0jyhFZ0D_oSLLSOz2YPTH9NCr0molovDlQvluoMsbDiWSL4LWpD9CAFXs0.1yZeuE0c0idAaBtl5-G8ewlidhTDb7YWjgOD77XUZTc&dib_tag=se&keywords=iPhone+16&qid=1732102656&sr=8-6,https://m.media-amazon.com/images/I/617ZhMUCvIL._AC_UL320_.jpg
7,Amazon,Apple iPhone 16 Plus (128 GB) - Ultramarine,4140.00,N/A,iPhone 16,https://www.amazon.sa/-/en/Apple-iPhone-Plus-128-Ultramarine/dp/B0DGJPGXKV/ref=sr_1_7?dib=eyJ2IjoiMSJ9.-SW37JoMXguG6njyaoJdZT-4d2PVsmMeUNpNBXxoQegYzowr3bQc9hVNLolJaC3nD1rikecgNqDwMXfY2hfokKBTlDG4jg2Cb0pj40Pwprc0S0q9LVQZnoGO-_JlbmPQsyMkomGlWOSf7XhUKNhH6A1Oj9rPk0-PiH1yOLYO27cLcIJYL33nuDHiBe_hGtK5o35x8xKi00rBcfRjpTgcSnm6V6FxGjdDmP8HzZrbywE9w3Byl0jyhFZ0D_oSLLSOz2YPTH9NCr0molovDlQvluoMsbDiWSL4LWpD9CAFXs0.1yZeuE0c0idAaBtl5-G8ewlidhTDb7YWjgOD77XUZTc&dib_tag=se&keywords=iPhone+16&qid=1732102656&sr=8-7,https://m.media-amazon.com/images/I/71Ecl1RS5jL._AC_UL320_.jpg
8,Amazon,Apple iPhone 16 Pro Max (256 GB) - Desert Titanium,5548.75,N/A,iPhone 16,https://www.amazon.sa/-/en/Apple-iPhone-Pro-Max-256/dp/B0DGJXGYTX/ref=sr_1_8?dib=eyJ2IjoiMSJ9.-SW37JoMXguG6njyaoJdZT-4d2PVsmMeUNpNBXxoQegYzowr3bQc9hVNLolJaC3nD1rikecgNqDwMXfY2hfokKBTlDG4jg2Cb0pj40Pwprc0S0q9LVQZnoGO-_JlbmPQsyMkomGlWOSf7XhUKNhH6A1Oj9rPk0-PiH1yOLYO27cLcIJYL33nuDHiBe_hGtK5o35x8xKi00rBcfRjpTgcSnm6V6FxGjdDmP8HzZrbywE9w3Byl0jyhFZ0D_oSLLSOz2YPTH9NCr0molovDlQvluoMsbDiWSL4LWpD9CAFXs0.1yZeuE0c0idAaBtl5-G8ewlidhTDb7YWjgOD77XUZTc&dib_tag=se&keywords=iPhone+16&qid=1732102656&sr=8-8,https://m.media-amazon.com/images/I/61bMJdgeryL._AC_UL320_.jpg
9,Amazon,"JETech Case for iPhone 16 6.1-Inch, Non-Yellowing Shockproof Phone Bumper Cover, Anti-Scratch Clear Back (Clear)",25.49,N/A,iPhone 16,https://www.amazon.sa/-/en/JETech-6-1-Inch-Non-Yellowing-Shockproof-Anti-Scratch/dp/B0D9JY7L1L/ref=sr_1_9?dib=eyJ2IjoiMSJ9.-SW37JoMXguG6njyaoJdZT-4d2PVsmMeUNpNBXxoQegYzowr3bQc9hVNLolJaC3nD1rikecgNqDwMXfY2hfokKBTlDG4jg2Cb0pj40Pwprc0S0q9LVQZnoGO-_JlbmPQsyMkomGlWOSf7XhUKNhH6A1Oj9rPk0-PiH1yOLYO27cLcIJYL33nuDHiBe_hGtK5o35x8xKi00rBcfRjpTgcSnm6V6FxGjdDmP8HzZrbywE9w3Byl0jyhFZ0D_oSLLSOz2YPTH9NCr0molovDlQvluoMsbDiWSL4LWpD9CAFXs0.1yZeuE0c0idAaBtl5-G8ewlidhTDb7YWjgOD77XUZTc&dib_tag=se&keywords=iPhone+16&qid=1732102656&sr=8-9,https://m.media-amazon.com/images/I/61Digd-OYuL._AC_UL320_.jpg
10,Amazon,"JETech 5 in 1 Case for iPhone 16 6.1-Inch with 2 Pack Each Tempered Glass Screen Protectors and Camera Lens Protectors, Non-Yellowing Shockproof Bumper Phone Cover (Clear)",49.99,N/A,iPhone 16,https://www.amazon.sa/-/en/JETech-6-1-Inch-Protectors-Non-Yellowing-Shockproof/dp/B0D9YKWBFT/ref=sr_1_10?dib=eyJ2IjoiMSJ9.-SW37JoMXguG6njyaoJdZT-4d2PVsmMeUNpNBXxoQegYzowr3bQc9hVNLolJaC3nD1rikecgNqDwMXfY2hfokKBTlDG4jg2Cb0pj40Pwprc0S0q9LVQZnoGO-_JlbmPQsyMkomGlWOSf7XhUKNhH6A1Oj9rPk0-PiH1yOLYO27cLcIJYL33nuDHiBe_hGtK5o35x8xKi00rBcfRjpTgcSnm6V6FxGjdDmP8HzZrbywE9w3Byl0jyhFZ0D_oSLLSOz2YPTH9NCr0molovDlQvluoMsbDiWSL4LWpD9CAFXs0.1yZeuE0c0idAaBtl5-G8ewlidhTDb7YWjgOD77XUZTc&dib_tag=se&keywords=iPhone+16&qid=1732102656&sr=8-10,https://m.media-amazon.com/images/I/71uHVpuZhjL._AC_UL320_.jpg
